city,variable,bias,rmse,spread,spread_over_rmse
Aberdeen,T2m,-0.295,0.857,0.891,1.04
London,T2m,-0.055,1.365,1.307,0.96
Berlin,T2m,-0.106,1.964,1.541,0.78
New York,T2m,-0.057,2.133,1.583,0.74
Phoenix,T2m,0.788,2.192,1.789,0.82
Tokyo,T2m,0.270,1.604,1.280,0.80
Aberdeen,MSLP,0.236,3.492,3.851,1.10
London,MSLP,-0.114,2.781,3.116,1.12
Berlin,MSLP,0.333,3.629,2.714,0.75
New York,MSLP,-0.253,3.675,2.703,0.74
Phoenix,MSLP,-0.129,1.580,1.453,0.92
Tokyo,MSLP,-0.752,2.850,2.223,0.78
Aberdeen,Wind10m,0.038,2.191,1.814,0.83
London,Wind10m,-0.106,1.293,1.166,0.90
Berlin,Wind10m,0.306,1.007,0.866,0.86
New York,Wind10m,-0.013,1.499,1.410,0.94
Phoenix,Wind10m,-0.084,0.994,0.920,0.93
Tokyo,Wind10m,0.422,0.930,0.719,0.77
Aberdeen,q850,-0.102,0.748,0.731,0.98
London,q850,0.052,1.033,0.897,0.87
Berlin,q850,0.010,0.974,0.752,0.77
New York,q850,-0.092,1.478,1.140,0.77
Phoenix,q850,-0.277,0.888,0.914,1.03
Tokyo,q850,0.062,0.946,0.864,0.91
Aberdeen,-w700,-0.035,0.172,0.148,0.86
London,-w700,-0.014,0.137,0.107,0.78
Berlin,-w700,0.007,0.143,0.102,0.71
New York,-w700,-0.014,0.185,0.169,0.91
Phoenix,-w700,-0.060,0.265,0.156,0.59
Tokyo,-w700,-0.050,0.258,0.168,0.65
Aberdeen,TCWV,0.022,2.431,2.440,1.00
London,TCWV,0.361,3.520,2.694,0.77
Berlin,TCWV,0.442,2.885,2.563,0.89
New York,TCWV,-0.415,5.955,4.035,0.68
Phoenix,TCWV,-0.884,3.521,3.314,0.94
Tokyo,TCWV,0.390,4.034,3.321,0.82
